"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
1.250,0.32,-1.22,0.38,1.250,0.51,-1.06,11.04,1.250,0.64,-0.97,-0.29,1.250,0.24,2.76,53.73,1.250,0.52,-1.08,-0.24,1.250,0.85,-1.04,-0.20,1.250,0.73,-0.98,-0.15,1.250,0.56,-1.07,-0.03,1.250,0.98,-1.06,-0.36,1.250,0.64,-1.07,-0.24
1.300,0.26,-1.22,12.99,1.300,0.46,-1.11,34.98,1.300,0.59,-0.99,-0.26,1.300,0.15,6.88,31.55,1.300,0.47,-1.09,-0.24,1.300,0.79,-1.04,-0.13,1.300,0.68,-0.99,-0.14,1.300,0.51,-1.07,-0.01,1.300,0.93,-1.07,-0.30,1.300,0.59,-1.09,-0.25
1.350,0.20,-1.10,37.53,1.350,0.41,2.35,48.75,1.350,0.53,-1.01,0.00,1.350,1.31,7.40,-19.64,1.350,0.42,-1.10,-0.23,1.350,0.74,-1.05,-0.19,1.350,0.63,-0.99,-0.14,1.350,0.45,-1.07,0.03,1.350,0.87,-1.08,-0.25,1.350,0.54,-1.10,-0.23
1.400,0.14,2.56,50.25,1.400,0.34,6.04,27.95,1.400,0.49,-0.99,0.19,1.400,1.31,3.81,-48.00,1.400,0.36,-1.11,-0.21,1.400,0.69,-1.07,-0.20,1.400,0.58,-1.00,-0.16,1.400,0.40,-1.07,0.31,1.400,0.82,-1.10,-0.20,1.400,0.48,-1.11,-0.19
1.450,0.12,6.27,27.54,1.450,1.33,6.41,-17.87,1.450,0.44,-0.97,0.37,1.450,1.31,-0.06,-37.65,1.450,0.30,-1.12,0.15,1.450,0.63,-1.07,-0.11,1.450,0.53,-1.01,-0.18,1.450,0.35,-1.06,0.51,1.450,0.76,-1.11,-0.11,1.450,0.42,-1.12,-0.15
1.500,1.12,6.50,-19.06,1.500,1.34,3.21,-42.61,1.500,0.39,-0.97,12.98,1.500,1.30,-0.05,-12.64,1.500,0.25,-1.13,29.19,1.500,0.58,-1.08,-0.04,1.500,0.48,-1.02,-0.20,1.500,0.29,-0.98,14.72,1.500,0.71,-1.11,-0.07,1.500,0.37,-1.12,-0.13
1.550,1.11,3.23,-43.07,1.550,1.33,-0.18,-32.42,1.550,0.34,-0.91,38.33,1.550,1.30,-0.03,,1.550,0.19,-1.04,86.89,1.550,0.53,-1.07,-0.01,1.550,0.43,-1.03,-0.19,1.550,0.24,-1.00,43.66,1.550,0.65,-1.11,-0.12,1.550,0.31,-1.13,0.17
1.600,1.10,-0.12,-33.09,1.600,1.31,-0.14,-9.42,1.600,0.29,2.84,51.87,1.600,1.30,-0.01,,1.600,0.13,7.56,116.54,1.600,0.47,-1.08,5.03E-4,1.600,0.37,-1.04,-0.16,1.600,0.21,3.29,59.55,1.600,0.60,-1.12,-0.19,1.600,0.26,-1.14,23.27
1.650,1.10,-0.04,-12.42,1.650,1.31,0.05,2.04,1.650,0.26,6.71,28.51,1.650,1.30,,,1.650,0.11,16.25,61.11,1.650,0.42,-1.07,-0.04,1.650,0.32,-1.04,0.01,1.650,0.13,7.77,33.32,1.650,0.54,-1.13,-0.21,1.650,0.20,-1.05,69.28
1.700,1.09,-0.16,,1.700,1.32,0.16,0.90,1.700,1.32,6.97,-20.26,,,,,1.700,2.60,16.54,-51.65,1.700,0.37,-1.07,-0.13,1.700,0.27,-1.05,0.88,1.700,1.39,8.12,-23.00,1.700,0.48,-1.14,-0.17,1.700,0.14,5.78,93.16
